Country,Life expectancy
Afghanistan,58.19375
Albania,75.15625
Algeria,73.61875
Angola,49.01875
Antigua and Barbuda,75.05625
Argentina,75.15625
Armenia,73.4
Australia,81.8125
Austria,81.48125
Azerbaijan,70.73125
Bahamas,74.2875
Bahrain,75.725
Bangladesh,69.3
Barbados,74.35625
Belarus,69.90625
Belgium,80.68125
Belize,69.26875
Benin,57.56875
Bhutan,66.1625
Bolivia (Plurinational State of),67.70625
Bosnia and Herzegovina,75.96875
Botswana,56.05
Brazil,73.38125
Brunei Darussalam,76.4875
Bulgaria,72.85
Burkina Faso,55.64375
Burundi,55.5375
Cabo Verde,72.51875
Cambodia,64.34375
Cameroon,54.01875
Canada,81.6875
Central African Republic,48.5125
Chad,50.3875
Chile,79.45
China,74.2625
Colombia,73.2875
Comoros,61.58125
Congo,59.04375
Costa Rica,78.59375
Croatia,76.11875
Cuba,77.975
Cyprus,79.675
Czechia,76.76875
Côte d'Ivoire,50.3875
Democratic People's Republic of Korea,69.19375
Democratic Republic of the Congo,55.6875
Denmark,79.25625
Djibouti,60.75625
Dominican Republic,72.34375
Ecuador,74.725
Egypt,71.5
El Salvador,71.74375
Equatorial Guinea,55.3125
Eritrea,60.6875
Estonia,74.94375
Ethiopia,59.1125
Fiji,68.7125
Finland,80.7125
France,82.21875
Gabon,62.24375
Gambia,59.4625
Georgia,73.50625000000001
Germany,81.175
Ghana,60.8625
Greece,81.21875
Grenada,73.29375
Guatemala,71.73125
Guinea,56.0125
Guinea-Bissau,55.36875
Guyana,65.6375
Haiti,59.86875
Honduras,72.99375
Hungary,73.825
Iceland,82.44375
India,65.41875
Indonesia,67.55625
Iran (Islamic Republic of),73.85625
Iraq,70.35625
Ireland,80.15
Israel,81.3
Italy,82.1875
Jamaica,74.29375
Japan,82.5375
Jordan,72.9875
Kazakhstan,66.7625
Kenya,57.48125
Kiribati,65.15
Kuwait,73.84375
Kyrgyzstan,69.08125
Lao People's Democratic Republic,62.38125
Latvia,73.73125
Lebanon,74.2
Lesotho,48.78125
Liberia,57.525
Libya,72.4875
Lithuania,72.80625
Luxembourg,80.78125
Madagascar,62.74375
Malawi,49.89375
Malaysia,73.75625
Maldives,75.5375
Mali,54.9375
Malta,80.3625
Mauritania,62.8
Mauritius,72.7125
Mexico,75.71875
Micronesia (Federated States of),68.2
Mongolia,65.8875
Montenegro,74.5
Morocco,72.15625
Mozambique,53.39375
Myanmar,64.2
Namibia,60.4
Nepal,66.48125
Netherlands,81.13125
New Zealand,81.3375
Nicaragua,73.45
Niger,56.98125
Nigeria,51.35625
Norway,81.79375
Oman,74.84375
Pakistan,64.5
Panama,76.4875
Papua New Guinea,61.68125
Paraguay,73.1125
Peru,73.6625
Philippines,67.575
Poland,75.65
Portugal,79.99375
Qatar,77.03125
Republic of Korea,80.4875
Republic of Moldova,69.98125
Romania,74.05
Russian Federation,67.7625
Rwanda,59.3125
Saint Lucia,73.6
Saint Vincent and the Grenadines,73.475
Samoa,73.61875
Sao Tome and Principe,65.1625
Saudi Arabia,73.46875
Senegal,62.56875
Serbia,73.95625
Seychelles,72.375
Sierra Leone,46.1125
Singapore,81.475
Slovakia,74.75
Slovenia,79.73125
Solomon Islands,67.7125
Somalia,53.31875
South Africa,57.5
South Sudan,53.875
Spain,82.06875
Sri Lanka,73.4
Sudan,61.825
Suriname,70.08125
Swaziland,51.325
Sweden,82.51875
Switzerland,82.33125
Syrian Arab Republic,70.85
Tajikistan,66.65625
Thailand,73.08125
The former Yugoslav republic of Macedonia,74.1125
Timor-Leste,64.75625
Togo,56.6625
Tonga,72.53125
Trinidad and Tobago,71.06875
Tunisia,74.35625
Turkey,73.9125
Turkmenistan,64.61874999999999
Uganda,55.70625
Ukraine,69.9375
United Arab Emirates,75.7
United Kingdom of Great Britain and Northern Ireland,80.79375
United Republic of Tanzania,56.00625
United States of America,78.0625
Uruguay,76.075
Uzbekistan,68.03125
Vanuatu,71.3875
Venezuela (Bolivarian Republic of),73.3875
Viet Nam,74.775
Yemen,63.8625
Zambia,53.90625
Zimbabwe,50.4875
